gfx,model_dim,inter_dim,experts,topk,tp,m,family,tile_m,tile_n,tile_k,sort_block_m,window,local_workers,reduce_scatter_grid,all_gather_grid,service_grid,vector_width,waves_per_eu,compute_groups,reduce_vector_width,service_block,route_store_scope,local_load_cache_modifier,remote_load_cache_modifier,fp8_scale_exponent,block_threads,b_cache_modifier,gather_load_cache_modifier,remote_store_cache_modifier,n_tile_cohort,collective,service_groups,service_tile_group,producer_mode,flat_producer_grid
gfx950,7168,384,384,6,8,1,owner_mega,16,256,128,32,,,,,,16,2,12,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,2,owner_mega,16,256,128,32,,,,,,16,2,12,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,4,owner_mega,16,256,128,32,,,,,,16,2,24,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,8,owner_mega,16,256,128,32,,,,,,16,2,48,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,16,owner_mega,16,256,128,32,,,,,,16,2,96,,,device,1,1,125,256,0,-1,0,0,direct,1,,routes,0
gfx950,7168,384,384,6,8,64,owner_mega,16,128,128,32,,,,,,8,0,208,,,device,1,1,127,128,3,-1,3,0,rs_broadcast,1,,atomic_shared,1
gfx950,7168,384,384,6,8,128,owner_mega,16,128,128,32,,,,,,8,0,162,,,device,1,1,127,128,3,-1,3,0,rs_broadcast,1,1,atomic_shared,1
gfx950,7168,384,384,6,8,256,owner_mega,16,128,128,32,,,,,,8,1,208,,,device,1,1,127,128,3,-1,0,0,rs_broadcast,1,,atomic_shared,1
gfx950,7168,384,384,6,8,512,owner_mega,16,128,128,32,,,,,,8,1,396,,,device,1,1,127,128,3,-1,1,8,rs_broadcast,1,,atomic_shared,0
gfx950,7168,384,384,6,8,1024,owner_mega,32,128,128,32,,,,,,16,0,54,,,device,0,2,127,256,3,1,3,0,rsag,1,,atomic_shared,0
gfx950,7168,384,384,6,8,2048,owner_mega,64,256,128,64,,,,,,8,0,154,,,device,1,1,127,256,3,1,3,0,rsag,8,28,routes_fp8_fixed,1
gfx950,7168,384,384,6,8,4096,owner_mega,64,128,128,64,,,,,,16,0,54,,,device,0,2,127,256,3,1,3,0,rsag,4,,atomic_shared,0
gfx950,7168,384,384,6,8,8192,owner_mega,64,256,128,64,,,,,,8,0,200,,,default,0,0,127,256,0,1,3,0,rsag,8,28,routes_fp8_fixed,1
gfx950,7168,384,384,6,8,16384,owner_mega,32,128,128,64,,,,,,8,0,200,,,device,1,2,127,256,3,1,3,0,rsag,4,,atomic_shared,1
gfx950,7168,384,384,6,8,32768,owner_mega,32,128,128,64,,,,,,8,0,200,,,device,1,2,127,256,3,1,3,0,rsag,4,,atomic_shared,1
